fjm    : build/doom_e1m1_blocked4.fjm
target : door sector 48, use box (480, 616, 624, 808), threshold state 4
script : 2 menu -> enter -> 24 walk to the door -> 2 use -> 8 open -> 3 through -> 6 idle  (45 frames)
doorway: line 537 ((544, 744), (544, 680)) -> approach (488, 712), then through to (632, 712)
running: 1,280,668,338 ops -> 45 frames presented

  frame  keys      door48    fj px vs oracle
      0  -              -   (menu frame -- m3_gate judges these)
      1  -              -   (menu frame -- m3_gate judges these)
      2  ft             0   BYTE-EXACT
      3  ft             0   BYTE-EXACT
      4  ft             0   BYTE-EXACT
      5  ft             0   BYTE-EXACT
      6  ft             0   BYTE-EXACT
      7  t              0   BYTE-EXACT
      8  t              0   BYTE-EXACT
      9  t              0   BYTE-EXACT
     10  ft             0   BYTE-EXACT
     11  ft             0   BYTE-EXACT
     12  f              0   BYTE-EXACT
     13  ft             0   BYTE-EXACT
     14  f              0   BYTE-EXACT
     15  f              0   BYTE-EXACT
     16  f              0   BYTE-EXACT
     17  f              0   BYTE-EXACT
     18  ft             0   BYTE-EXACT
     19  f              0   BYTE-EXACT
     20  f              0   BYTE-EXACT
     21  ft             0   BYTE-EXACT
     22  ft             0   BYTE-EXACT
     23  ft             0   BYTE-EXACT
     24  ft             0   BYTE-EXACT
     25  f              0   BYTE-EXACT
     26  u              1   BYTE-EXACT
     27  u              2   BYTE-EXACT
     28  -              3   BYTE-EXACT
     29  -              4   BYTE-EXACT
     30  -              5   BYTE-EXACT
     31  -              6   BYTE-EXACT
     32  -              7   BYTE-EXACT
     33  -              8   BYTE-EXACT
     34  -              8   BYTE-EXACT
     35  -              8   BYTE-EXACT
     36  ft             8   BYTE-EXACT
     37  f              8   BYTE-EXACT
     38  ft             8   BYTE-EXACT
     39  -              8   BYTE-EXACT
     40  -              8   BYTE-EXACT
     41  -              8   BYTE-EXACT
     42  -              8   BYTE-EXACT
     43  -              8   BYTE-EXACT
     44  -              7   BYTE-EXACT

  CONTROL 1: door 48 reached 9 distinct states [0, 1, 2, 3, 4, 5, 6, 7, 8] -- carried across the reset
  CONTROL 2: use was pressed INSIDE the box: yes
  CONTROL 3: the 2 menu frames are identical to each other: yes
  CONTROL 4: the player's path crosses door 48's own line SEGMENT ((544, 744)-(544, 680) / (560, 680)-(560, 744)): yes -- and every frame is byte-exact, so fj walked the same path, which its blocking bit had to clear to allow

M2 STANDALONE GATE: PASS -- the shipped binary opens a door and KEEPS it open across the M1 reset
