TABLE PLACEMENT on the GAME tier (the binding metric), 16,384 tables relocated
same source, same harness (gamespeed.py unchanged since the z3 commit), same seeds

  run      z3 baseline         placed          delta      pct
  0         27,110,806     26,304,020       -806,786   -2.98%
  1         22,051,127     21,436,710       -614,417   -2.79%
  2         28,590,182     28,353,655       -236,527   -0.83%
  3         24,065,319     23,955,642       -109,677   -0.46%
  4         14,795,842     14,641,486       -154,356   -1.04%
  5         24,935,526     25,212,338        276,812    1.11%  <-- WORSE
  6         20,197,167     19,938,280       -258,887   -1.28%
  7         14,945,357     14,186,580       -758,777   -5.08%
  8         18,011,845     17,783,427       -228,418   -1.27%
  9         15,707,064     14,869,008       -838,056   -5.34%

  mean run-average           21,041,023     20,668,114       -372,908   -1.77%
  80th-pct run               24,935,526     25,212,338        276,812    1.11%
  BINDING (mean+p80)/2       22,988,274     22,940,226        -48,048   -0.21%
