$ python analyze.py calls games
per-call cost by family (owner-attributed ops / entry count); 1000 game frames
family(nargs)                 sites    calls/fr    ops/frame      mean       min    median       max
hex.ptr_index(3)                  6       482.9      408,739       846       779       877       942
hex.read_byte(2)                489      2690.2      700,305       260        82       276       337
hex.write_byte(2)                 4       166.9       84,194       504       487       536       619
hex.read_hex(2)                  24      1129.6      276,116       244       218       263       295
hex.read_hex(3)                   2        94.3      264,179      2801      1726      4350      6974
hex.write_hex(2)                  1       160.0       63,274       395       395       395       395
hex.read_byte_and_inc(2)        463      2073.2      836,667       404       233       416       508
hex.read_table_packed(5)         67       324.0    1,309,179      4041      1962      4292     10370
hex.mul_const(4)                 87       350.8      410,246      1169       458      1226      2391
hex.mul_lo(4)                     4       521.0      430,024       825       785       864      2742
hex.fixed_mul_lo(5)             158       695.5    2,351,562      3381      1049      5173      7771
hex.cmp(5)                     5376     28740.1    1,137,985        40        12        43      8223
hex.cmp(6)                     2264     16389.1    1,178,315        72        17        67       849
hex.scmp(6)                     289      1498.6      373,293       249       152       318       533
hex.mov(3)                     2549     18397.0    1,032,370        56         5        64      1613
hex.sparse_mov(4)                61      6060.7      182,736        30         3        23        93
hex.add(2)                     3522     20411.1    1,231,097        60        38        58        90
hex.add(3)                      329      1737.6      787,033       453       102       486       645
hex.sub(2)                     1332      1061.2       68,192        64        34        58        90
hex.sub(3)                      199       262.4       69,776       266       176       438       681
hex.add_constant(3)            1171      8491.3    1,262,888       149        88       147       250
hex.xor(2)                   109052    520252.8    6,301,851        12         1        10       318
hex.xor(3)                     3112     23404.4      665,009        28         1        30       138
hex.zero(1)                   39874    147702.7    1,869,474        13         1        11       318
hex.zero(2)                    5776     38802.8      994,667        26         1        30     98633
hex.set(2)                    15045     17454.8      192,904        11         1        11       168
hex.set(3)                     3613      6798.3      192,904        28         1        54       168
hex.if0(2)                     1825     13856.5      277,429        20         7        16      1543
hex.if0(3)                     5577     15388.7      630,964        41         8        17      7690
hex.if_flags(4)               10041     43106.4      984,932        23         7        16      7690
hex.inc(2)                      145      1772.0       80,199        45        12        36       628
hex.dec(2)                       18        65.5       14,257       218        43       222       957
hex.shl_hex(2)                  105      2274.9      118,148        52         8        51       109
hex.shl_hex(3)                  112      2427.0      125,136        52         8        50       109
hex.shr_hex(3)                  105      1880.2       95,962        51        32        70       177
hex.shl_bit(2)                  696      3379.1      166,195        49         4        53       100
hex.shr_bit(2)                  107      2691.1       90,650        34        15        32        78
hex.div(7)                        4         1.1      173,499    157155     81019    181396    327355
sim.thing_load(4)                 1        19.3      376,061     19464     19464     19464     19464
sim.try_move(14)                  3         1.5      786,697    510843    383993    522139    681452
sim.check_position(11)            4         2.4    1,385,219    575975    382970    600354    694243
sim.check_block(14)              16         8.2    1,378,824    169077    131128    171966    237946
sim.check_line(5)                16       142.6      967,654      6787      5990      7257      8248
sim.thing_pass(3)                 1       219.2      704,965      3216      3216      3216      3216
sim.bind_things(3)                1         1.0      438,809    438810    438810    438810    438810
stream.emit_col_lines(45)         1       103.5    1,643,727     15887     15887     15887     15887
byte.emit(1)                    583      2039.2      100,591        49        19        53        70
m1.zerobyte(1)                 1002       796.7      123,129       155        76       123       205
proj.project_thing(16)            2        81.8    1,227,383     14999     13436     16746     20057
frame.thing_record_body(26)       2        69.5    1,548,568     22292     15444     49614     83784
hex.sign(4)                     464      4060.5      104,653        26         7        22       389
sim.point_side(7)                64         5.2       71,982     13774     12130     13407     15897
finesine.read_cos(2)              3         3.4          580       169       151       155       195
finesine.read_sin(2)              7        53.9       12,887       239       154       216       265
proj.wedge_setup(11)              1         1.0        2,558      2559      2559      2559      2559
stl.fcall(2)                  11701      3575.2       90,040        25         1        24        90
kb.poll(9)                        8         8.2          868       106        81        98       182
hex.input_hex(1)                 16         8.5          446        52        37        44       120
hex.input(1)                      4         0.2           12        75         -         -         -
hex.input(2)                      4         0.2           12        75         -         -         -
frame.seg_pass1_leaf_body_lines(4)      1       211.8    2,641,860     12472     12472     12472     12472
frame.seg_pass1_leaf_body_ts(15)      1        67.7    2,722,899     40199     40199     40199     40199
frame.seg_pass2_leaf_body_lines(27)      1        14.8    4,019,353    271193    271193    271193    271193
proj.wedge_bbox(13)               1        50.4       74,732      1484      1484      1484      1484
frame.thing_load_cold(4)          1         2.3       15,308      6587      6587      6587      6587
stream.sprite_runs(5)             2        15.1      165,211     10966     10896     12117     13338
stream.sprite_runs_win(6)         2         0.9       11,531     13315     10156     13315     16475
frame.lines_spr_load(11)          1       160.0       95,170       595       595       595       595
frame.lines_spr_seed(1)           1        14.8       18,257      1232      1232      1232      1232
vpb_walk(1)                      44       232.9       10,820        46        33        48        72
frame.read_byte5(2)               8       858.0      174,749       204       195       202       209
frame.write_byte5(2)             32       779.3      381,969       490       438       503       569
frame.ptr_index4(3)              12       147.0       81,055       551       517       547       671
stream.emit_region(32)            6        30.4      290,977      9587      4032      8535     12930
