$ python analyze.py fam games sim.try_move,sim.check_position sim.check_block,sim.check_line frame.thing_record_body,proj.project_thing,sim.thing_load,sim.thing_pass stream.emit_col_lines,stream.sprite_runs,stream.emit_region hex.ptr_index,hex.read_hex,hex.write_hex,hex.write_byte
family sim.try_move,sim.check_position: 7 executed instances; top 40 by ops/frame
   ops/frame   calls/fr   ops/call  call site  |  path head
     600,520       0.86     694243  sim.check_position bkoff, 2, bklin, 3, lnbox, lnrow, 3, 16, 15, -3, -5  |  sim.check_position(11)
     451,650       0.86     522139  sim.try_move bkoff, 2, bklin, 3, lnbox, lnrow, 3, 16, 15, -3, -5, 56,   |  sim.try_move(14)
     450,468       0.86     520772  .check_position bkoff, n_bk, bklin, n_bl, lnbox, lnrow, n_ln, nbx, nby  |  sim.try_move(14)---sim.check_position(11)
     173,770       0.26     681452  sim.try_move bkoff, 2, bklin, 3, lnbox, lnrow, 3, 16, 15, -3, -5, 56,   |  sim.try_move(14)
     173,383       0.26     679936  .check_position bkoff, n_bk, bklin, n_bl, lnbox, lnrow, n_ln, nbx, nby  |  sim.try_move(14)---sim.check_position(11)
     161,276       0.42     383993  sim.try_move bkoff, 2, bklin, 3, lnbox, lnrow, 3, 16, 15, -3, -5, 56,   |  sim.try_move(14)
     160,847       0.42     382970  .check_position bkoff, n_bk, bklin, n_bl, lnbox, lnrow, n_ln, nbx, nby  |  sim.try_move(14)---sim.check_position(11)

family sim.check_block,sim.check_line: 32 executed instances; top 40 by ops/frame
   ops/frame   calls/fr   ops/call  call site  |  path head
     150,648       0.86     174160  rep(4, q) .check_block bkoff, n_bk, bklin, n_bl, lnbox, lnrow, n_ln, n  |  sim.check_position(11)---sim.check_block(14)
     150,395       0.86     173867  rep(4, q) .check_block bkoff, n_bk, bklin, n_bl, lnbox, lnrow, n_ln, n  |  sim.check_position(11)---sim.check_block(14)
     150,130       0.86     173561  rep(4, q) .check_block bkoff, n_bk, bklin, n_bl, lnbox, lnrow, n_ln, n  |  sim.check_position(11)---sim.check_block(14)
     147,369       0.86     170370  rep(4, q) .check_block bkoff, n_bk, bklin, n_bl, lnbox, lnrow, n_ln, n  |  sim.check_position(11)---sim.check_block(14)
     139,496       0.86     161268  rep(4, q) .check_block bkoff, n_bk, bklin, n_bl, lnbox, lnrow, n_ln, n  |  sim.try_move(14)---sim.check_position(11)---sim.check_block(14)
     110,436       0.69     160519  rep(4, q) .check_block bkoff, n_bk, bklin, n_bl, lnbox, lnrow, n_ln, n  |  sim.try_move(14)---sim.check_position(11)---sim.check_block(14)
     105,389      16.60       6348  .check_line lnbox, lnrow, n_ln, cb_line, blocked  |  sim.check_position(11)---sim.check_block(14)---sim.check_line(5)
     105,040      17.01       6177  .check_line lnbox, lnrow, n_ln, cb_line, blocked  |  sim.check_position(11)---sim.check_block(14)---sim.check_line(5)
     104,965      16.58       6330  .check_line lnbox, lnrow, n_ln, cb_line, blocked  |  sim.check_position(11)---sim.check_block(14)---sim.check_line(5)
     101,792      16.99       5990  .check_line lnbox, lnrow, n_ln, cb_line, blocked  |  sim.check_position(11)---sim.check_block(14)---sim.check_line(5)
     101,197       0.57     177851  rep(4, q) .check_block bkoff, n_bk, bklin, n_bl, lnbox, lnrow, n_ln, n  |  sim.try_move(14)---sim.check_position(11)---sim.check_block(14)
      98,729      13.96       7072  .check_line lnbox, lnrow, n_ln, cb_line, blocked  |  sim.try_move(14)---sim.check_position(11)---sim.check_block(14)
      96,941       0.61     159970  rep(4, q) .check_block bkoff, n_bk, bklin, n_bl, lnbox, lnrow, n_ln, n  |  sim.try_move(14)---sim.check_position(11)---sim.check_block(14)
      75,417      11.19       6742  .check_line lnbox, lnrow, n_ln, cb_line, blocked  |  sim.try_move(14)---sim.check_position(11)---sim.check_block(14)
      70,947       9.93       7143  .check_line lnbox, lnrow, n_ln, cb_line, blocked  |  sim.try_move(14)---sim.check_position(11)---sim.check_block(14)
      68,295      10.02       6819  .check_line lnbox, lnrow, n_ln, cb_line, blocked  |  sim.try_move(14)---sim.check_position(11)---sim.check_block(14)
      62,193       0.42     148079  rep(4, q) .check_block bkoff, n_bk, bklin, n_bl, lnbox, lnrow, n_ln, n  |  sim.try_move(14)---sim.check_position(11)---sim.check_block(14)
      46,807       0.26     183558  rep(4, q) .check_block bkoff, n_bk, bklin, n_bl, lnbox, lnrow, n_ln, n  |  sim.try_move(14)---sim.check_position(11)---sim.check_block(14)
      44,559       5.52       8077  .check_line lnbox, lnrow, n_ln, cb_line, blocked  |  sim.try_move(14)---sim.check_position(11)---sim.check_block(14)
      42,881       0.22     194035  rep(4, q) .check_block bkoff, n_bk, bklin, n_bl, lnbox, lnrow, n_ln, n  |  sim.try_move(14)---sim.check_position(11)---sim.check_block(14)
      41,878       0.18     237946  rep(4, q) .check_block bkoff, n_bk, bklin, n_bl, lnbox, lnrow, n_ln, n  |  sim.try_move(14)---sim.check_position(11)---sim.check_block(14)
      41,007       0.22     185556  rep(4, q) .check_block bkoff, n_bk, bklin, n_bl, lnbox, lnrow, n_ln, n  |  sim.try_move(14)---sim.check_position(11)---sim.check_block(14)
      37,502       0.29     131128  rep(4, q) .check_block bkoff, n_bk, bklin, n_bl, lnbox, lnrow, n_ln, n  |  sim.try_move(14)---sim.check_position(11)---sim.check_block(14)
      33,575       4.55       7371  .check_line lnbox, lnrow, n_ln, cb_line, blocked  |  sim.try_move(14)---sim.check_position(11)---sim.check_block(14)
      31,067       0.19     160143  rep(4, q) .check_block bkoff, n_bk, bklin, n_bl, lnbox, lnrow, n_ln, n  |  sim.try_move(14)---sim.check_position(11)---sim.check_block(14)
      30,953       4.09       7572  .check_line lnbox, lnrow, n_ln, cb_line, blocked  |  sim.try_move(14)---sim.check_position(11)---sim.check_block(14)
      30,352       3.68       8248  .check_line lnbox, lnrow, n_ln, cb_line, blocked  |  sim.try_move(14)---sim.check_position(11)---sim.check_block(14)
      29,304       3.71       7903  .check_line lnbox, lnrow, n_ln, cb_line, blocked  |  sim.try_move(14)---sim.check_position(11)---sim.check_block(14)
      28,869       0.19     148813  rep(4, q) .check_block bkoff, n_bk, bklin, n_bl, lnbox, lnrow, n_ln, n  |  sim.try_move(14)---sim.check_position(11)---sim.check_block(14)
      25,986       3.38       7695  .check_line lnbox, lnrow, n_ln, cb_line, blocked  |  sim.try_move(14)---sim.check_position(11)---sim.check_block(14)
      21,850       2.78       7857  .check_line lnbox, lnrow, n_ln, cb_line, blocked  |  sim.try_move(14)---sim.check_position(11)---sim.check_block(14)
      20,493       2.59       7925  .check_line lnbox, lnrow, n_ln, cb_line, blocked  |  sim.try_move(14)---sim.check_position(11)---sim.check_block(14)

family frame.thing_record_body,proj.project_thing,sim.thing_load,sim.thing_pass: 6 executed instances; top 40 by ops/frame
   ops/frame   calls/fr   ops/call  call site  |  path head
     965,345      62.51      15444  frame.thing_record_body 255, 255, 262144, 5242880, 80, 50, 160, 100, 2  |  frame.thing_record_body(26)
     839,867      62.51      13436  proj.project_thing trb_vis, trb_tx1, trb_tx2, trb_tytop, trb_thpx, trb  |  frame.thing_record_body(26)---proj.project_thing(16)
     704,965     219.23       3216  sim.thing_pass throw, 2, thpos_rt  |  sim.thing_pass(3)
     583,222       6.96      83784  frame.thing_record_body 255, 255, 262144, 5242880, 80, 50, 160, 100, 2  |  frame.thing_record_body(26)
